date,name,city,type,content_opportunity
2026-01-01,元旦跨年,北京,节日节点,新年城市计划;跨年消费
2026-02-14,情人节,北京,节日节点,约会路线;礼物清单
2026-03-08,妇女节,北京,节日节点,女性生活方式;品牌礼遇
2026-04-04,清明假期,北京,假期节点,春日Citywalk;户外路线
2026-05-01,五一假期,北京,假期节点,游客路线;商圈攻略
2026-05-20,520,北京,营销节点,约会;礼物;拍照
2026-06-01,儿童节,北京,节日节点,亲子活动;玩具IP
2026-06-18,618,北京,电商节点,会员权益;品牌活动
2026-07-01,暑期开始,北京,季节节点,避暑;室内漫游;亲子
2026-07-09,王府井论坛,北京,商业活动,商圈趋势;文商旅体展
2026-08-19,七夕,北京,节日节点,约会;一个人也可以;夜生活
2026-09-01,开学季,北京,季节节点,学生;文具;数码
2026-09-27,中秋,北京,节日节点,团圆;礼盒;夜游
2026-10-01,国庆假期,北京,假期节点,游客;城市路线;商圈活动
2026-10-31,万圣节,北京,营销节点,IP;装扮;夜生活
2026-11-11,双11,北京,电商节点,品牌权益;会员福利
2026-12-24,平安夜,北京,节日节点,约会;夜经济;礼物
2026-12-25,圣诞,北京,节日节点,打卡;装置;餐饮
2026-12-31,跨年,北京,节日节点,倒计时;夜间消费

