name,city,type,priority,tags
北京SKP,北京,商业项目,5,高端;奢侈品;艺术
SKP-S,北京,商业项目,5,科技;艺术;潮流
三里屯太古里,北京,商业项目,5,潮流;街区;生活方式
北京THE BOX,北京,商业项目,5,年轻;社群;潮流
北京坊,北京,商业项目,5,文化;街区;旅游
王府中环,北京,商业项目,5,高端;王府井;艺术
北京apm,北京,商业项目,4,王府井;年轻;餐饮
东方新天地,北京,商业项目,4,王府井;零售;餐饮
DT51,北京,商业项目,4,社区;生活方式;零售
朝阳大悦城,北京,商业项目,4,年轻;餐饮;活动
西单大悦城,北京,商业项目,4,年轻;IP;活动
合生汇,北京,商业项目,4,餐饮;年轻;夜生活
蓝色港湾,北京,商业项目,4,亲子;夜景;生活方式
SOLANA,北京,商业项目,4,户外;亲子;餐饮
华贸中心,北京,商业项目,4,CBD;商务;高端
国贸商城,北京,商业项目,5,CBD;高端;商务
侨福芳草地,北京,商业项目,5,艺术;建筑;生活方式
颐堤港,北京,商业项目,4,艺术;家庭;办公
798艺术区,北京,艺术街区,5,艺术;展览;城市
檀谷,北京,商业街区,4,山谷;生活方式;艺术
郎园Station,北京,文化园区,4,文化;展览;活动
首钢园,北京,城市更新,4,工业;运动;展览
前门大街,北京,商业街区,4,文化;旅游;老字号
隆福寺,北京,商业街区,4,艺术;城市更新;夜生活
北京LOOK,北京,城市媒体,5,生活方式;探店;城市
北京吃货,北京,城市媒体,4,餐饮;探店;清单
Timeout Beijing,北京,城市媒体,4,城市;活动;英文
赢商网,全国,行业媒体,5,商业地产;行业;数据
RET睿意德,全国,行业媒体,5,商业地产;研究;趋势
商业地产观察,全国,行业媒体,4,商业地产;案例;趋势

